current_date,台中,嘉義,永康,台南,高雄
12-19_01,21.71,18.34,18.39,18.64,22.03
12-19_02,23.97,20.48,20.92,21.19,24.48
12-19_03,26.16,22.62,23.3,24.07,26.74
12-19_04,27.57,24.4,25.06,25.2,27.95
12-19_05,28.38,25.39,26.2,26.92,28.63
12-19_06,28.47,25.66,27.21,27.27,28.7
12-19_07,27.81,25.44,27.16,27.25,28.15
12-19_08,26.31,24.66,26.01,26.07,25.84
12-19_09,24.26,22.34,23.7,23.77,24.93
12-19_10,22.62,20.6,22.16,22.25,24.19
12-19_11,21.4,18.94,21.29,21.42,23.61
12-19_12,20.55,18.17,20.85,21.2,22.69
12-19_13,19.9,17.49,20.25,20.6,22.37
12-19_14,19.3,17.09,19.66,20.04,21.49
12-19_15,18.84,16.7,18.71,19.08,21.4
12-19_16,18.44,16.19,18.25,18.48,20.66
12-19_17,18.07,15.78,17.9,17.98,20.03
12-19_18,17.59,15.38,17.51,17.68,19.53
12-19_19,17.35,15.11,17.13,17.33,19.09
12-19_20,17.19,14.83,16.88,17.01,18.67
12-19_21,17.04,14.59,16.89,16.95,18.29
12-19_22,16.99,14.53,16.72,16.87,18.08
12-19_23,17.33,14.6,16.63,16.85,18.12
12-20_00,19.75,15.26,17.18,18.62,19.54
12-20_01,23.59,16.2,18.02,20.19,20.89
12-20_02,26.58,20.07,21.99,22.74,22.9
12-20_03,28.73,23.12,24.11,24.59,26.31
12-20_04,30.75,25.36,26.78,27.47,28.28
12-20_05,31.62,26.56,26.32,26.31,28.74
12-20_06,31.45,27.51,26.22,26.1,29.06
12-20_07,30.58,25.41,25.39,25.89,28.57
12-20_08,28.77,24.01,24.18,24.46,28.03
12-20_09,26.23,22.53,22.53,22.92,25.47
12-20_10,24.54,21.65,21.72,22,23.88
12-20_11,24.15,20.49,20.87,20.96,23.15
12-20_12,23.52,20.18,20.16,20.33,22.69
12-20_13,22.54,19.59,19.69,19.86,21.8
12-20_14,22.48,18.98,19.17,19.32,21.22
12-20_15,21.64,18.61,19.46,19.36,20.55
12-20_16,20.95,18.39,19.44,19.44,19.95
12-20_17,20.24,18.24,19.42,19.24,19.48
12-20_18,19.65,18.2,19.38,19.27,19.44
12-20_19,19.35,18.08,19.33,19.24,19.26
12-20_20,19.29,17.9,19.35,19.29,18.61
12-20_21,19.02,17.57,19.27,19.29,18.53
12-20_22,19.25,17.38,19.2,19.25,18.22
12-20_23,19.42,17.15,18.99,19.11,18.46
12-21_00,21.48,17.32,19.26,19.51,20.74
12-21_01,24.23,18.94,20.79,22.65,23.85
12-21_02,27.04,22.67,24.71,25.31,26.41
12-21_03,29.35,25.32,27.55,28.04,27.48
