日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/02/13,東站,O3,22.2,22.4,17.7,13.8,9.1,7.5,5.5,5.3,10.4,17.4,33.4,52.1,57.4,57.8,63.3,66.1,63.2,55.7,45.7,39.7,34.4,30.8,23.6,17.3
2017/02/14,東站,O3,10.9,8.0,5.7,3.9,3.3,2.8,2.7,4.1,8.2,22.4,44.7,M60.1,65.9,78.0,75.9,74.2,71.0,65.1,53.6,47.9,43.1,41.0,37.9,34.5
2017/02/15,東站,O3,30.5,25.5,21.8,16.8,11.9,8.8,5.5,4.1,10.1,30.4,50.8,60.2,67.0,69.6,70.4,70.9,70.2,61.1,52.4,47.1,42.5,38.9,35.1,31.6
2017/02/16,東站,O3,26.0,22.4,22.0,15.8,15.1,13.0,11.7,14.1,16.4,22.5,28.3,43.6,59.7,68.0,68.9,68.7,66.1,62.6,57.8,52.1,48.9,24.7,14.0,24.2
2017/02/17,東站,O3,30.2,24.7,18.8,14.1,13.5,17.2,12.9,5.7,17.7,40.1,56.6,67.0,71.4,72.7,76.4,65.5,56.9,44.4,36.9,31.2,23.8,19.9,14.4,12.0
2017/02/18,東站,O3,8.5,11.3,6.8,2.4,3.7,15.0,12.2,22.4,28.6,33.9,43.1,56.3,69.7,71.5,72.2,71.3,61.8,52.9,43.9,34.5,28.1,26.2,26.9,23.7
2017/02/19,東站,O3,17.7,16.2,20.2,17.6,13.9,13.6,11.8,10.5,15.0,25.7,39.6,55.0,67.2,77.7,75.4,72.2,70.8,65.0,57.2,44.9,45.6,43.3,33.3,31.0
2017/02/20,東站,O3,25.4,22.9,22.7,21.0,16.8,22.0,26.7,20.4,22.7,40.6,42.1,52.5,66.2,47.7,35.6,33.3,33.0,40.8,51.3,43.8,35.7,37.2,29.7,21.2
2017/02/21,東站,O3,13.9,8.4,13.9,18.3,15.8,19.7,20.0,21.9,24.3,27.5,39.1,51.5,55.8,63.2,67.9,70.3,57.9,48.7,41.9,35.8,32.4,27.8,27.1,29.7
2017/02/22,東站,O3,32.2,30.8,24.0,23.9,22.5,18.4,18.0,16.9,16.6,21.1,33.6,47.4,54.8,45.5,51.2,60.3,59.4,45.4,31.9,20.7,24.5,18.7,11.3,7.4
2017/02/23,東站,O3,7.3,10.2,8.9,7.6,6.4,3.2,2.8,4.5,9.5,15.3,22.6,32.7,44.6,49.8,58.8,50.9,33.1,19.5,9.4,13.2,15.6,15.8,16.3,17.2
2017/02/24,東站,O3,16.4,13.9,11.6,12.7,9.9,9.1,8.7,10.1,9.5,13.6,16.1,15.7,19.9,22.8,21.4,25.3,23.0,18.7,15.2,13.5,9.3,13.0,12.1,19.6
2017/02/25,東站,O3,16.1,12.0,10.3,10.4,15.8,9.9,10.0,10.8,14.5,16.0,19.9,27.5,33.3,38.1,41.3,38.9,36.1,30.6,24.0,17.6,14.3,13.5,14.5,17.8
2017/02/26,東站,O3,18.4,15.7,11.8,17.9,21.1,17.9,18.5,22.5,29.7,33.1,35.4,37.7,46.8,52.2,53.2,50.6,51.4,46.4,43.4,39.8,36.7,36.7,33.3,31.4
2017/02/27,東站,O3,27.9,27.3,24.8,23.7,20.9,22.9,20.7,21.0,22.0,27.8,33.0,43.1,51.9,61.1,66.4,66.7,60.5,56.6,42.7,32.7,27.6,26.6,27.8,22.1
